Year,Month,Day,State,Event Type
1961,June,12,MINNESOTA,Thunderstorm Wind
1961,June,21,MINNESOTA,Thunderstorm Wind
1961,May,14,MINNESOTA,Thunderstorm Wind
1961,May,14,MINNESOTA,Tornado
1961,June,8,MINNESOTA,Hail
1961,June,10,MINNESOTA,Thunderstorm Wind
1961,June,10,MINNESOTA,Tornado
1961,June,10,MINNESOTA,Hail
1961,June,10,MINNESOTA,Thunderstorm Wind
1961,June,30,MINNESOTA,Tornado
1961,June,30,MINNESOTA,Thunderstorm Wind
1961,July,4,MINNESOTA,Hail
1961,July,4,MINNESOTA,Hail
1961,July,20,MINNESOTA,Hail
1961,July,20,MINNESOTA,Hail
1961,July,20,MINNESOTA,Tornado
1961,July,20,MINNESOTA,Hail
1961,July,23,MINNESOTA,Hail
1961,July,30,MINNESOTA,Thunderstorm Wind
1961,August,2,MINNESOTA,Hail
1961,August,2,MINNESOTA,Thunderstorm Wind
1961,May,7,MINNESOTA,Hail
1961,July,29,MINNESOTA,Hail
1961,July,29,MINNESOTA,Thunderstorm Wind
1961,July,30,MINNESOTA,Thunderstorm Wind
1961,September,1,MINNESOTA,Tornado
1961,June,30,MINNESOTA,Tornado
1962,October,4,MINNESOTA,Tornado
1962,July,29,MINNESOTA,Hail
1962,July,21,MINNESOTA,Hail
1962,July,21,MINNESOTA,Thunderstorm Wind
1962,June,19,MINNESOTA,Tornado
1962,June,19,MINNESOTA,Tornado
1962,June,22,MINNESOTA,Hail
1962,June,23,MINNESOTA,Hail
1962,June,23,MINNESOTA,Hail
1962,June,23,MINNESOTA,Hail
1962,June,23,MINNESOTA,Hail
1962,June,28,MINNESOTA,Thunderstorm Wind
1962,May,12,MINNESOTA,Hail
1962,May,13,MINNESOTA,Thunderstorm Wind
1962,May,16,MINNESOTA,Thunderstorm Wind
1962,May,17,MINNESOTA,Thunderstorm Wind
1962,May,18,MINNESOTA,Tornado
1962,May,18,MINNESOTA,Tornado
1962,May,18,MINNESOTA,Hail
1962,May,18,MINNESOTA,Tornado
1962,May,22,MINNESOTA,Thunderstorm Wind
1962,May,22,MINNESOTA,Hail
1962,May,22,MINNESOTA,Thunderstorm Wind
1962,May,22,MINNESOTA,Thunderstorm Wind
1962,May,22,MINNESOTA,Tornado
1962,May,22,MINNESOTA,Tornado
1962,May,22,MINNESOTA,Tornado
1962,May,22,MINNESOTA,Thunderstorm Wind
1962,May,22,MINNESOTA,Thunderstorm Wind
1962,May,29,MINNESOTA,Thunderstorm Wind
1962,May,29,MINNESOTA,Thunderstorm Wind
1962,June,10,MINNESOTA,Hail
1962,June,16,MINNESOTA,Thunderstorm Wind
1962,June,17,MINNESOTA,Thunderstorm Wind
1962,June,17,MINNESOTA,Tornado
1962,June,17,MINNESOTA,Hail
1962,June,17,MINNESOTA,Hail
1962,June,19,MINNESOTA,Tornado
1962,May,10,MINNESOTA,Hail
1962,May,10,MINNESOTA,Hail
1962,May,11,MINNESOTA,Hail
1962,July,22,MINNESOTA,Hail
1962,July,22,MINNESOTA,Hail
1962,July,22,MINNESOTA,Hail
1962,July,22,MINNESOTA,Hail
1962,July,22,MINNESOTA,Hail
1962,July,23,MINNESOTA,Hail
1962,July,24,MINNESOTA,Hail
1962,July,24,MINNESOTA,Hail
1962,July,24,MINNESOTA,Thunderstorm Wind
1962,August,5,MINNESOTA,Thunderstorm Wind
1962,August,5,MINNESOTA,Thunderstorm Wind
1962,August,6,MINNESOTA,Thunderstorm Wind
1962,August,6,MINNESOTA,Thunderstorm Wind
1962,August,6,MINNESOTA,Thunderstorm Wind
1962,August,6,MINNESOTA,Thunderstorm Wind
1962,August,6,MINNESOTA,Thunderstorm Wind
1962,August,31,MINNESOTA,Hail
1962,September,16,MINNESOTA,Tornado
1962,September,16,MINNESOTA,Tornado
1962,July,7,MINNESOTA,Thunderstorm Wind
1962,July,7,MINNESOTA,Thunderstorm Wind
1962,July,7,MINNESOTA,Hail
1962,July,7,MINNESOTA,Thunderstorm Wind
1962,July,9,MINNESOTA,Thunderstorm Wind
1962,July,17,MINNESOTA,Hail
1962,July,19,MINNESOTA,Thunderstorm Wind
1962,July,21,MINNESOTA,Hail
1962,July,21,MINNESOTA,Hail
1962,July,21,MINNESOTA,Hail
1962,July,21,MINNESOTA,Hail
1962,July,21,MINNESOTA,Thunderstorm Wind
1962,June,28,MINNESOTA,Hail
1962,July,6,MINNESOTA,Thunderstorm Wind
1962,July,6,MINNESOTA,Thunderstorm Wind
1962,July,6,MINNESOTA,Tornado
1962,July,6,MINNESOTA,Tornado
1962,July,7,MINNESOTA,Hail
1963,August,7,MINNESOTA,Hail
1963,June,8,MINNESOTA,Hail
1963,June,8,MINNESOTA,Thunderstorm Wind
1963,June,8,MINNESOTA,Hail
1963,April,1,MINNESOTA,Hail
1963,April,2,MINNESOTA,Thunderstorm Wind
1963,May,12,MINNESOTA,Hail
1963,May,12,MINNESOTA,Thunderstorm Wind
1963,May,16,MINNESOTA,Hail
1963,May,17,MINNESOTA,Thunderstorm Wind
1963,June,8,MINNESOTA,Thunderstorm Wind
1963,June,8,MINNESOTA,Thunderstorm Wind
